Project Name,Project Type,URL to project,Founded year (project),Industries,Usecases,5 word review,Description (from online)
Fantom,Startup,https://fantom.foundation/,,Infrastructure,Blockchain Development Services,Blockchain Infrastructure Provider (Ethereum Compatible),"Fantom is a fast, high-throughput open-source smart contract platform for digital assets and dApps."
Infura,Startup,https://infura.io/,2016,Infrastructure,Blockchain Development Services,Blockchain Development Suite,"Our suite of high availability APIs and Developer Tools provide quick, reliable access to the Ethereum and IPFS networks so you can focus on building and scaling next generation software."
Red Date / BSN,,https://bsnbase.io/,2018,Infrastructure,Blockchain Development Services,State-backed Blockchain Development Platform,"Red Date Technology is a technology company headquartered in Hong Kong that is dedicated to building next-generation Public IT System infrastructures for internet communications, digital economies, and metaverses. We work with our partners around the world to advance fundamental technologies that benefit all humankind. The BSN infrastructure offers three types of data center management software to enable traditional clouds, data centers, or intranets to build dedicated system-level blockchain environments for applications, operating systems, and tools. Simply put, we integrate a new type of virtual data center into physical data centers so they can manage all blockchain operations in a more efficient, independent, and well-organized way. All the BSN virtual data centers connect to each other via similar communication protocols to form the BSN, just like how the Internet was created. The BSN’s three types of data centers are:"
Parity Technologies,Startup,https://www.parity.io/,2015,Infrastructure,Blockchain Development Services,Blockchain Infrastructure Provider,Working on Polkadot and substrate. The former being a compeitor to Eth
Tenderly,Startup,https://tenderly.co/,2018,Infrastructure,Blockchain Development Services,End to End Developer Platform,"Tenderly provides an end-to-end developer platform for teams and companies looking to build innovative blockchain products. The company strives to set the standard of quality and versatility in the Web3 developer tooling space. By providing a full-fledged platform with a comprehensive dashboard and a multifaceted API, Tenderly enables developers to focus on their projects whether they are just starting out with Smart Contracts or building a complex DeFi platform"
Zab Technologies,Startup,https://www.zabtechnologies.net/,2018,Infrastructure,Blockchain Development Services,Blockchain Development Company,"A Government Registered Cryptocurrency and Blockchain Development Company that has more than 40+ Blockchain Engineers with a primary focus on creating customised blockchain software solutions for various industries. Decentralise and Adopt emerging Blockchain Technologies to Disrupt your Industry, regardless whether you are an Inspiring Startup or a Reliable Enterprise."
Samsung,Corporate,https://developer.samsung.com/blockchain/platform/overview.html,,Infrastructure,Wallet,Custody / wallet,"Keep your valuables safe and secure with Samsung Blockchain.
With added protection from Knox, Samsung Blockchain Keystore and Wallet keeps your virtual assets secure. Also, Private Share ensure that your valuable data and information are managed and shared without risking your privacy.
"
Kaleido,Startup,https://www.kaleido.io/,2017,Infrastructure,"Blockchain Development Services,BaaS",SaaS Platform for Blockchain networks,Kaleido’s Blockchain Business Cloud is a digital transformation & enterprise blockchain platform for modern business networks.
Zynesis,Startup,https://zynesis.com/,,Infrastructure,Blockchain Development Services,Blockchain Research & Development Lab & Consultancy,"Zynesis is a Blockchain Research & Development Lab & Consultancy, designing and building decentralization systems for our clients and the ecosystem."
Clearmatics,Startup,https://www.clearmatics.com/about/,2015,"Infrastructure,Capital Markets","Blockchain Development Services,Clearing & Settlements",Blockchain Infrastructure Provider,"Founded in 2015, Clearmatics is a London-based blockchain company. We build member-owned and governed decentralised network platforms for the p2p exchange of tokenised value between network members. Our ethos and architecture is grounded in protocol, p2p architecture, removing friction and market inefficiencies, strong security guarantees and interoperable exchange across platforms to build a p2p ecosystem for market infrastructure. Our focus is capital markets and we work with firms that have the ambition to reinvent the industry's business models."
Chainstack,Startup,https://chainstack.com/,2018,Infrastructure,"Blockchain Development Services,Cloud Services",Developer APIs for interactions,"Thousands of innovators in DeFi, NFT, gaming, analytics, and other verticals are empowered by scalable distributed Chainstack APIs. We process billions of requests on a daily basis and provide unified user-friendly access for developers to all prominent Web3 protocols—from Ethereum and Polygon to Solana.
"
Envision Blockchain,Startup,https://envisionblockchain.com/,2018,Infrastructure,"Blockchain Development Services,Cloud Services",Development firm focused on enterprise,"Systems intergration
We help you become a leader in your industry  by enabling business collaboration while keeping data in your siloed system. Integrating your Line of Business Applications will increase business process efficiency, increase business stakeholder visibility, and provide new business value.
Blockchain services
As a full service consultancy with a niche focus in blockchain integration that leverage Modern Cloud Solutions, Envision Blockchain provides their clients an innovated experience that ranges from Blockchain Use Case Ideation to Solution Development & Production Deployments.
"
Accenture,Corporate,https://www.accenture.com/us-en/insights/blockchain-index,,Consultancy & Advisory,"Blockchain Development Services,Consultancy",Blockchain-based Consultancy & Cloud Services,"Worked with Swift on a cross bridge CBDC solution = https://www.ledgerinsights.com/swift-cbdc-cross-border-mcbdc/
 ""Accenture’s India centre houses a studio to work on client requirements for the metaverse including developing the architecture for non-fungible tokens (NFTs). NFTs are unique cryptographic tokens that exist on a blockchain and cannot be replicated."" https://techobserver.in/2022/04/18/it-service-consultant-accenture-to-onboard-150000-indians-to-work-from-the-metaverse/

Active with Hyperledger Cactus which is 'interopablity' / 'integration'
Partnered with NTT https://www.docomo.ne.jp/english/info/media_center/pr/2022/1108_00.html"
Nethermind,Startup,https://nethermind.io/,2017,Infrastructure,"Blockchain Development Services,Marketplace",API Marketplace and Ethereum Client,"Founded in 2017 by a small team of world-class technologists, Nethermind builds Ethereum solutions for developers and enterprises. Boosted by a grant from the Ethereum Foundation in August 2018, our team has worked tirelessly to deliver the fastest Ethereum client in the market. 

Our flagship Ethereum client is all about performance and flexibility. Built on .NET core, a widespread, enterprise-friendly platform, Nethermind makes integration with existing infrastructures simple, without losing sight of stability, reliability, data integrity, and security.

Solutions across three
key DeFi areas
Infrastructure & Data Engineering
Protocol Engineering & MVP Execution
Technical Due Diligence & Research"
Polygon,Startup,https://polygon.technology/,2017,Infrastructure,"Scaling Solution,Privacy & Security Solutions",Bringing the world to Ethereum,Polygon believes in Web3 for all. Polygon is a decentralised Ethereum scaling platform that enables developers to build scalable user-friendly dApps with low transaction fees without ever sacrificing on security.
Cartesi,Startup,https://cartesi.io/,2018,Infrastructure,"Blockchain Development Services,Scaling Solution",Layer-2 platform for Dapps,"Cartesi is the first Blockchain OS. It allows developers to build decentralized logic with Linux and standard programming environments preserving the decentralization and security of blockchains. That means moving beyond Solidity and coding smart contracts with rich software tools, libraries, and services developers are used to. All while, free from scalability limits.

Application-specific rollups with a Linux runtime.
Scaling Computation. Transcending EVM Limitations. [2]"
ParaState,Startup,https://www.parastate.io/,2019,Infrastructure,"Blockchain Development Services,Scaling Solution",multi-chain smart contract platform,"""ParaState is building Ethereum on steroids — Substrate + Ethereum"" ""ParaState has officially launched its public testnet, Plato, currently running as a standalone Substrate blockchain. Plato is the first production-ready public testnet featuring both EVM and EWASM.""

Known as Ethereum on steroids, ParaState is a multi-chain smart contract platform bridging the application and developer ecosystem between Ethereum and Polkadot, as well as other high performance Substrate-based blockchains wanting to provide Ethereum compatibility. "
EY OpsChain,Corporate,https://www.ey.com/en_ch/blockchain-platforms/opschain-network-procurement,2018,Infrastructure,"Blockchain Development Services,Supply Chain Management & Tracking Solutions",Blockchain Infrastructure Provider (Procurement),EY OpsChain Network Procurement is the first procurement solution designed to support networks of enterprises
Adhara,Startup,https://adhara.io/,2018,Payments,"CBDCs,Interbank Payments,Payment Solutions,DvP",Liquidity Management and International Payments for DeFi Networks,"""Fnality and HQLAᵡ demonstrate together with Banco Santander, Goldman Sachs and UBS, the first cross-chain repo swap pilot across Corda and Enterprise Ethereum, paving the way for the settlement of intraday transactions"""
Visa (CBDC initative),Corporate,https://usa.visa.com/visa-everywhere/blog/bdp/2022/01/13/envisioning-a-future-1642034573970.html,2021,Payments,"CBDCs,Payment Solutions",CBDC Payment Module,"Visa’s CBDC Payments Module is designed to provide an on-ramp for CBDC to existing payment networks, so that CBDC networks can easily connect to traditional financial service providers.  For banks and issuers processors, they’ll be able to plug into the module and integrate their existing infrastructure and be enabled to do things like issue CBDC-linked payment cards or wallet credentials for consumers to use. We’re in the process of integrating our module with the ConsenSys Codefi CBDC sandbox powered by ConsenSys Quorum, so that our platform can be ready to tap into enterprise blockchain technology.  
"
Visa,Corporate,https://usa.visa.com/solutions/crypto.html,2021,Payments,Clearing & Settlements,USDC Settlement System,Working on account abstraction for ETH
Chronicled (Mediledger),Startup,https://www.mediledger.com/,2017,HealthTech,"Chargebacks,Supply Chain Management & Tracking Solutions,Healthcare Data,Identity & Credentials",Pharmaceutical Supply Chain Network,"The MediLedger Network is the leading life sciences industry network that runs solutions for data alignment, validation and transaction settlement between trading partners. The network actually utilizes transaction-related data like contracts, customers, and products that are shared through the network to enforce configurable business rules on transactions for each participant, enabling industry level automation and trust.

The MediLedger Network is powered by blockchain, which means it is decentralized so trading partners are doing business directly and rules are being enforced automatically, without any party sitting in the middle."
Project Ubin,Government,https://www.mas.gov.sg/schemes-and-initiatives/project-ubin,2016,Payments,CBDCs,CBDC Initaitve by Monetary Authority of Singapore,"Project Ubin Phase 5 was based on the Quorum enterprise blockchain originally developed by JP Morgan. It used the capability of JP Morgan’s IIN (now Liink) and JPM Coin product, which tokenizes money. At the time, MAS explained to Ledger Insights that the solution supported different issuers, including central banks and commercial banks. The ultimate goal of Phase 5 was to explore a variety of applications to use digital currency, including for bond issuance, cross-border payments, supply chain finance, advertising payments and several other use cases, all of which leveraged blockchain."
Fnality,Consortium,https://www.fnality.org/about-fnality,2019,Payments,Clearing & Settlements,Distributed Financial Market Infrastructure (dFMI),"The initiative became known as the Utility Settlement Coin (USC) Project, with a core objective; the creation of a peer-to-peer digital cash asset to settle tokenised transactions with finality.  

The payment solution needed to be:  
Available in multiple currencies to allow for greater efficiencies in managing fragmented liquidity.
Capable of inter-operating across multiple business platforms, whether to support PvP or DvP settlement of financial transactions.
A digital representation of money held in a central bank account to ensure banks could rely upon its value as they would fiat currency.
Having established that these aims were both theoretically and technically possible, the consortium members took a step toward building the system, to enable ‘on-chain’ payment, by investing in the creation of Fnality International (Fnality). 

Fnality now boasts 15 major institutions as shareholders: Banco Santander, BNY Mellon, Barclays, CIBC, Commerzbank, Credit Suisse, ING, KBC Group, Lloyds Banking Group, Mizuho Financial Group, MUFG Bank, Nasdaq, Sumitomo Mitsui Banking Corporation, State Street Corporation, and UBS.  "
W3BCLOUD,Consortium,https://www.w3bcloud.com/,2018,Infrastructure,Cloud Computing,Cloud Computing Infrastructure for Enterprises,"W3BCLOUD is a joint venture between Advanced Micro Devices and ConsenSys to build the future stack of blockchain compute to enable the Web 3.0 and blockchain economy. 

""Founded in 2018, W3BCLOUD provides storage and compute infrastructure to power Web3’s decentralized economy. With today’s transaction, W3BCLOUD aims to accelerate its investment in its platform to drive adoption by the blockchain developer community. Additionally, the company expects to benefit from emerging Web3 use cases such as Web3-enabled gaming, NFTs, DeFi, and the Metaverse, to further reinforce its position as a leading Web3 infrastructure provider and diversify revenue."""
Covantis,Consortium,https://covantis.io/,,"Trade Finance,Supply Chain & Logistics","Commodities,Exchanges & Trading,Supply Chain Management & Tracking Solutions",Global Commodities Trading,"The initiators of Covantis collaborate as open, transparent representatives of the industry. But the collaboration doesn’t end with the platform’s founding members. Any industry participant is welcome: a wide collaboration supports our mission to serve the agri commodities industry.

Industry participants are regularly invited to give feedback on the platform’s design and functionality. These participatory workshops are invaluable to testing and validating the progress Covantis is making to ensure that the solution will be one for the entire industry.

The network is constantly being expanded with commodity trading companies to end-buyers, shippers, agents, supervision companies, trade associations, and more."
Wanchain,Startup,https://www.wanchain.org/,2017,Infrastructure,"Cross-chain,Scaling Solution,Rollups",Blockchain Interoperability Platform,Wanchain drives blockchain adoption through crosschain interoperability by building fully decentralised direct bridges that connect the world’s many siloed blockchain networks
Loopring,Startup,https://loopring.io/#/,2017,"Infrastructure,Trading","Exchanges & Trading,NFTs,Scaling Solution",Non-cusotdial exchange infrastructure,
Auto1 FT,Startup,https://token1.auto1-fintech.com/,2021,Mobility,"Financing & Credit,Identity & Verification",Professional services for car financing,"Auto1 FT offers convenient digital financing solutions for the used car market, and the integration of blockchain technology provides all vehicle-related contractual details in a single agreement, in the process paving room for complete digitization. Furthermore, Auto1 FT has developed a system that supports car dealers by providing flexible and rapid liquidity.

Our digital solution brings enormous efficiency benefits for car dealers and is setting new standards in the mobility industry.  Using smart contracts reduces the total expenditure and documentation involved in financing a car to a minimum. The increased data security alongside faster and cheaper applications ensures high efficiency. Errors or confusion are virtually impossible thanks to the blockchain"
Ekta,Startup,https://www.ekta.io/,2021,"Infrastructure,Real Estate","Financing & Credit,NFTs",Blockchain Infrastructure Provider (Cross-industry),"Ekta is a cross-chain blockchain that bridges to the physical world. They create NFT, DEX, and DeFi solutions to bring on chain traditional industries, businesses, and assets to create value in both worlds.

Ekta’s mission is to bridge the blockchain world with the world we live in and create value in both. This is accomplished through various branches of the Ekta ecosystem, which include: 
- The tokenization of real-world assets through EktaChain and Ekta’s self-developed NFT Marketplace
- Ekta’s decentralized credit platform that allows all users to participate
- Physical spaces such as the island chain currently being developed in Indonesia, where physical land and real estate assets will be brought on-chain
- Ekta’s startup incubator and innovation center open to retail investment"
AMD Blockchain,Corporate,https://www.amd.com/en/technologies/blockchain,,Hardware,Hardware Devices,Hardware for Crypto Mining,"Blockchain algorithms require compute platforms, PCs and servers – more specifically CPUs and GPUs to run on. AMD is in a unique position to offer the best combination of CPU and GPU technologies to make blockchain transactions increasingly faster and more secure. ​We are working with existing ecosystem partners to bring blockchain compute solutions to market for a large variety of use cases and exploring opportunities with new and innovative platforms using blockchain."
Synaptic Health Alliance,Consortium,https://www.synaptichealthalliance.com/,2017,HealthTech,"Healthcare Data,Record Keeping",Removing friction in healthcare,"""Synaptic Health Alliance believes that blockchain technology provides an opportunity to explore how collaboration can help transparently share information, automate mutually beneficial processes and audit interactions. Its intent is to leverage this emerging technology to facilitate reaching across industry and competitive lines to solve healthcare’s toughest problems. Founding members include Aetna, Humana, MultiPlan, Quest Diagnostics and UnitedHealth Group. For more information, visit"""
Dock.io,Startup,https://www.dock.io/,2017,Identity Management & Verification,Identity & Credentials,W3C compatable verifiable credentials,"Build applications for issuing and verifiable credentials on blockchain that are standards compliant, scalable, and affordable."
The Graph Foundation,Startup,https://thegraph.com/en/,2018,Data & Analytics,Indexing,Indexing Protocol for Blockchain Data,"The Graph solves this with a decentralized protocol that indexes and enables the performant and efficient querying of blockchain data. These APIs (indexed ""subgraphs"") can then be queried with a standard GraphQL API. Today, there is a hosted service as well as a decentralized protocol with the same capabilities. Both are backed by the open source implementation of Graph Node."
Metlife Inc. (LifeChain),Corporate,http://lumenlab.sg/,2019,Insurance,"Insurance Claims,Identity & Credentials",Smart Contract based Life Insruance Claims,"Lifechain is a first-of-its-kind technology solution, developed by LumenLab that leverages blockchain to automate the verification process for life insurance claims for the family of an insured who has passed away. The pilot will target family members of the deceased who place obituaries in The Straits Times and comprise 1,000 randomly selected Income life insurance insured.

How does Lifechain work? Lifechain enables SPH to securely encrypt and share verification data used for obituary placement with Income. This will trigger a search for a matching life insurance p"
Aave Arc,Startup,https://aave.com/,2017,DeFi,Lending,Lending DeFi Protocol (non-custodial),"Aave is a decentralised non-custodial liquidity market protocol where users can participate as depositors or borrowers. Depositors provide liquidity to the market to earn a passive income, while borrowers are able to borrow in an overcollateralised (perpetually) or undercollateralised (one-block liquidity) fashion."
AURA,Consortium,https://auraluxuryblockchain.com/,2021,Retail & E-Commerce,"Luxury,Supply Chain Management & Tracking Solutions,Anti-counterfeiting",Luxury good provenance system,"The Aura Blockchain Consortium was born from a vision that collaboration with the competition can coexist for the greater good. We value trust, sustainability, innovation, and collaborative decisions to enhance the luxury experience of our customers.

The Aura Blockchain Consortium is the first initiative led by luxury Maisons going beyond traditional frontiers to become a technological hub for brands. Through this unprecedented enterprise, we will usher in a new luxury era enlightened by the potential of blockchain."
Chevron,Corporate,,,EnergyTech,Marketplace,,Part of Vakt
Nori,Startup,https://nori.com/,2017,EnergyTech,Marketplace,Carbon Removal Marketplace,"Nori is on a mission to reverse climate change by making it as simple as possible to pay people to remove carbon dioxide from the atmosphere. Nori is building the open source market infrastructure to allow for carbon removal projects to measure and monetize their activity. Our voluntary marketplace, based on blockchain technology, will enable carbon removal suppliers to connect directly with buyers, improve efficiency, and reduce costs."
Nexus Mutual,Startup,https://nexusmutual.io/,2017,Insurance,"Marketplace,Insurance Claims",A people-powered alternative to insurance,"People can join the mutual and become members. Members can buy cover to protect against material losses when transferring funds into a protocol’s smart contracts or keeping funds with a custodian. Nexus Mutual is a discretionary mutual. Each member can hold NXM tokens, which represent proportional ownership of the mutual. The mutual runs on the Ethereum blockchain."
iExec,Startup,https://iex.ec/,2016,Data & Analytics,"Marketplace,Oracles,Cloud Computing",Decentralized Cloud Computing Platform,"Web3 marketplace, oracle factory, confiential computing and a iExex SDK that allows you to execute off chain computations via the iExec decentralized cloud. "
VOW,Startup,https://vowcurrency.com/,2020,Payments,"Merchant Solutions,Loyalty",loyalty platform for Merchants,"""Vow aims to change the world by decentralizing the issuance of currency."""
Nvidia,Corporate,https://www.nvidia.com/en-us/cmp/,2021,Hardware,Mining,Designed for professional mining operations,"NVIDIA CMP allows a fully open, airflow-optimized bracket and is configured to allow a greater number of GPUs to be controlled by one CPU."
Sotheby's metaverse,Corporate,https://www.sothebys.com/en/press/sothebys-to-announce-live-bidding-increments-in-ether-eth-cryptocurrency-for-banksys-trolley-hunters-and-love-is-in-the-air,,Arts,"NFTs,Marketplace,Brokerage",NFT Auctioning and ETH Crypto Payments,Welcome to Sotheby’s Metaverse. Auction house for a selection of rare NFTs and digital art.
Chainlink,Startup,https://chain.link/,2014,Data & Analytics,Oracles,decentralized blockchain oracle network,"Chainlink is the industry standard for building, accessing, and selling oracle services needed to power hybrid smart contracts on any blockchain. Chainlink oracle networks provide smart contracts with a way to reliably connect to any external API and leverage secure off-chain computations for enabling feature-rich applications. Chainlink currently secures tens of billions of dollars across DeFi, insurance, gaming, and other major industries, and offers global enterprises and leading data providers a universal gateway to all blockchains."
Signature Bank Signet,Corporate,https://www.signet.com/,,Payments,Payment Solutions,Blockchain-based Digital Payment Platform (Institutions),"Signature Bank’s new digital payments platform, Signet™, is designed to enable real-time payments for its commercial clients only.

The Signet Platform leverages blockchain technology in its architecture, allowing Signature Bank’s commercial clients to make payments in U.S. dollars 24 hours a day, seven days a week, 365 days a year. Transactions made on the Signet Platform settle in real time, are safe and secure and incur no transaction fees. Typically, in the case of real-time payments, funds are transferred between two different institutions. With Signet, funds are transferred in real-time between commercial clients of Signature Bank."
Partior,Consortium,https://www.dbs.com.sg/corporate/blockchain/partior,,Payments,"Payment Solutions,Clearing & Settlements",Blockchain-based Clearing & Settlement Platform,"Partior, an open blockchain-based clearing and settlement platform that was incubated in part by the government of Singapore, today announced that it is operational and had achieved end-to-end settlements with participating banks in Singapore dollar (SGD) and U.S. dollar (USD) of less than 120 seconds — a significant reduction from an average of two days typically needed for such transactions.

Global cross-border transactions are expected to reach US$156 trillion in 2022, and the Partior platform aims to solve pain points in payments — such as slow settlement speeds and expensive transaction fees — for financial institutions by digitizing commercial bank money and using an “atomic,” or instant model to replace the sequential way payments are settled currently.  This would cut the time needed to settle the transactions between banks from days to seconds, which would free up liquidity and lower settlement risk. Using the platform also potentially reduces the need for intermediaries and brings cost savings."
PayPal,Corporate,https://www.paypal.com/us/digital-wallet/manage-money/crypto,,Payments,"Payment Solutions,Storage Solutions",Payment Platform offering Ethereum,"Use the app to buy, transfer, and sell cryptocurrencies: Bitcoin, Bitcoin Cash, Ethereum, and Litecoin.1"
Novartis,Corporate,,2018,HealthTech,"Pharmaceuticals,Supply Chain Management & Tracking Solutions",Pharma Supply Chain Solution,Was a core part of the Phameledger ledger project
MERCK,Corporate,,,HealthTech,"Pharmaceuticals,Supply Chain Management & Tracking Solutions,Digital Twin",Pharma Supply Chain Solution,"""Merck and Siemens are envisioning an end-to-end solution that will enable customers to rely on one immutable single source of truth between production and laboratory quality control. Within the scope of the collaboration, Siemens plans to build an object-centric IIoT data ecosystem in which objects can communicate by sharing data within a trusted environment. Both companies also plan to combine the crypto anchor technology portfolio of Merck with Siemens’ trusted traceability system (an end-to-end genealogy system for products) to make them interoperable based on blockchain technology.""

Was also part of the Phameledger ledger project "
